"","id","treated","true_effect","base.hte","cluster.hte","ols.fe.hte","lasso.fe.hte","mean.hte","demeaned.hte","part.demeaned.hte"
"3349",164,0,0.370672287672062,0.397686507577042,0.418345024647737,0.548792402326673,0.529749750620696,0.324160919143231,0.512359004487523,0.316431043259063
"3350",164,0,0.411069050618368,0.339896199253784,0.41609999712873,0.549390227698292,0.50229177791894,0.390731396186875,0.475973836013708,0.335018688971638
"3351",164,0,0.438142239064706,0.512641172391947,0.468068075447292,0.528072344230715,0.483750552999475,0.339917161700747,0.411088271934283,0.225400869257375
"3352",164,0,0.288622917648731,0.368670730049444,0.392123163222552,0.482155174165397,0.449096837273675,0.315101238113268,0.557932301616964,0.288523216198048
"3353",164,0,0.499389961358096,0.465360398668791,0.465754760672799,0.562579300252957,0.579951660340977,0.381546717777908,0.482358554789584,0.434324845236747
"3354",164,0,0.35695531930122,0.463217771884507,0.477531496336591,0.531039952209671,0.538881168932665,0.398107842294113,0.626918980254664,0.374825770020061
"3355",164,0,0.562031698834973,0.644459206606768,0.647673260591732,0.674483161100951,0.604547607479747,0.517542559312824,0.702354810132109,0.448994685173464
"3356",164,0,0.306326818914028,0.350411223671645,0.388116473499661,0.480606410021588,0.455542040926368,0.403897947436199,0.481775452384402,0.336229047435113
"3357",165,0,0.558202932812058,0.579751789671672,0.565761066492475,0.630177658604528,0.661324015976917,0.569232373236007,0.694644008073839,0.556802892492897
"3358",165,0,0.390172739137682,0.535568866837784,0.569289920686036,0.520337143473534,0.514329430575513,0.412153606809783,0.503785464959118,0.406783702514289
"3359",165,0,0.37004352388333,0.411567265213053,0.464987815768059,0.496886110426208,0.497520655134226,0.399521292456747,0.530223889218079,0.378794051145701
"3360",165,0,0.756447233031576,0.587745176205028,0.563339555325344,0.564414335400565,0.59043249861882,0.414349594177398,0.687283138089208,0.377256784036823
"3361",165,1,0.422036492693187,0.393834236770303,0.498151557374124,0.549972900784944,0.528085611577277,0.380687432715632,0.609513813976891,0.383243370390152
"3362",165,1,0.66908140861866,0.516190972426848,0.55038646687564,0.508560872262241,0.528612305624544,0.418644960043826,0.496861175607384,0.392879720904017
"3363",165,0,0.410317645844876,0.658668292402732,0.695807043071286,0.529012930658356,0.519323140864235,0.435896742459077,0.363514652146371,0.395690948620107
"3364",165,0,0.392831011106027,0.511138549076575,0.561674125110157,0.452986814052979,0.400636482767941,0.383598186379652,0.479113044305806,0.350906015341897
"3365",165,1,0.460212573590615,0.729623988154685,0.760709837166554,0.642517062548173,0.6552975070256,0.636995291022208,0.49137708065546,0.614916977692121
"3366",165,1,0.429896837830272,0.489101846756365,0.617173629083685,0.532492852979422,0.560139748717202,0.564513217882659,0.424129071016365,0.526527902745384
"3367",165,0,0.548824156567078,0.577967686043722,0.634846028428949,0.681531514377637,0.65398743749742,0.551976611619148,0.474271989328606,0.557237953855063
"3368",165,1,0.50955154669702,0.415819103674123,0.446624667323677,0.504250490545121,0.571621993714856,0.410511623232577,0.621361990285626,0.416605331198365
"3369",165,0,0.623887321670962,0.633844476004171,0.612364298985095,0.502058158235435,0.535866799302002,0.385703462902986,0.633167109251688,0.348159228523745
"3370",165,0,0.835981308794413,0.84440801702711,0.851530052979559,0.622304031423958,0.653907435388944,0.528129906233717,0.537932456899385,0.469882319951434
"3371",165,0,0.728280304285036,0.767987772341093,0.770893866535137,0.585826010141196,0.571220232168149,0.5280894845943,0.465477977448308,0.442863595397105
"3372",165,0,0.283339031532593,0.443425511472076,0.454096651040912,0.425646143900218,0.411381681521563,0.321620203805721,0.599696782844019,0.256817749334911
"3373",165,0,0.252447056690681,0.504143873931945,0.562629535769965,0.441860940591818,0.483912943177713,0.432274987754194,0.51567316710785,0.384252624731179
"3374",165,0,0.326543205067323,0.485253682684158,0.518734420246651,0.475545028352335,0.434796117312286,0.403414075847723,0.501360565810795,0.353705369259588
"3375",165,0,0.382911357074328,0.433162637024716,0.471604809884336,0.431208641477674,0.41016339557329,0.337192080041883,0.529034474493348,0.273538560193643
"3376",165,0,0.314105302672256,0.427959845354694,0.517317116693417,0.447044388179384,0.42461987297296,0.346177254446297,0.553267626030239,0.287233097421011
"3377",165,1,0.515139539315983,0.644770137210835,0.637451766115682,0.60426230996718,0.619345338978032,0.523056239557562,0.560771205481084,0.405449360535939
"3378",165,0,0.46399949602451,0.486393897672895,0.550090867080006,0.541780211089601,0.488077500127905,0.37416044871877,0.5636002487078,0.35894995259396
"3379",165,0,0.64570209124762,0.498758369610426,0.532656662392495,0.492502990296296,0.442244385649832,0.389518630719972,0.53170244562119,0.337724836611021
"3380",165,0,0.363968481049622,0.456639176100872,0.503739966250562,0.476590728718023,0.417970526483401,0.409459288668772,0.561171504991775,0.279087703033353
"3381",165,0,0.448718055163758,0.572249809815045,0.6350358308013,0.500470580184594,0.500174021105573,0.445466110427557,0.552249961290303,0.409672784329024
"3382",165,1,0.461696927162719,0.49294766583463,0.530037433975572,0.55805961846423,0.535875618111374,0.428049678716398,0.679689620519534,0.368684675432586
"3383",165,0,0.378574285637227,0.446636269852681,0.467691455584391,0.43769382300772,0.390468291010226,0.3256454213254,0.556684496457602,0.287941054816289
"3384",166,0,0.779672965531536,0.637261068890333,0.570969544861975,0.757082331697836,0.659660552027272,0.500671743308651,0.580075922870317,0.600253208393552
"3385",166,0,0.693689227017236,0.660386928135342,0.678519670339135,0.690597136190773,0.637142392092192,0.506353284012371,0.487322507558095,0.557515906297108
"3386",166,0,0.817942245870559,0.66512550032415,0.651634056966982,0.709009465386327,0.673970957179665,0.491663173932551,0.52865025073173,0.584910752604558
"3387",166,0,0.894266006398979,0.898195489520696,0.849393584505779,0.87229604052049,0.82521864270262,0.752617765128621,0.608584157417856,0.785471160475054
"3388",166,0,0.736833241018473,0.664266245775371,0.626915596350629,0.606556428684527,0.579666156732036,0.472791041750888,0.437001331495245,0.398760533649207
"3389",166,0,0.679705744955988,0.935886446756121,0.940366502585923,0.69928941458964,0.759812701262428,0.619637433626744,0.624466087725972,0.523866772488802
"3390",166,0,0.83628242942652,0.680166305592708,0.680220573557788,0.750709177330456,0.726642885157717,0.594031426520487,0.625759742329398,0.71461194967529
"3391",166,0,0.954672083045148,0.676624194591245,0.653627436895483,0.794893184118094,0.761193401290111,0.622963206484204,0.770871082626466,0.767523675780634
